id;start_date;end_date;cause
1;2021-06-13T06:09:48;2021-06-13T04:22:11;compressing Architecte b
2;2021-06-13T18:28:13;2021-06-13T14:48:58;Games Account
3;2021-06-13T10:45:28;2021-06-13T14:28:34;Profit-focused foreground open-source
4;2021-06-13T13:15:10;2021-06-13T06:26:30;SMS
5;2021-06-13T18:08:43;2021-06-13T20:45:46;copy JBOD
6;2021-06-13T20:11:24;2021-06-13T07:24:21;24/365
7;2021-06-13T15:40:57;2021-06-13T14:11:18;Architecte input b
8;2021-06-12T22:00:18;2021-06-13T09:27:06;compress Awesome
9;2021-06-13T15:29:56;2021-06-13T01:36:26;b ivory
10;2021-06-13T00:55:43;2021-06-13T06:08:37;optical
