id;name;address;latitude;longitude;global_rate;establishment_type;has_parking;has_restaurant;has_free_wifi;description
1;Swedish back-end;Mouffetard Manager Syrie;12061;34538;51628;SECRETPLACESPA;true;false;true;index Chair New
2;success;program Superviseur Account;81087;1705;86870;SECRETPLACESPA;true;false;false;Practical
3;a SMS;Berkshire Rubber Stagiaire;34351;79942;33715;SECRETPLACESPA;false;true;true;Montorgueil extranet Gloves
4;Soap;digital;85609;36385;54446;SECRETPLACESPA;false;false;false;withdrawal interface b
5;Antigua-et-Barbuda;Ergonomic;57672;80183;33963;SECRETPLACESPA;false;true;false;Bénin
6;Sudanese firewall Sleek;transmitter;28389;21105;30927;SECRETPLACESPA;true;true;true;connect Technicien
7;multimedia IB Account;Baby;67853;97038;48609;SECRETPLACESPA;true;true;false;Guyane
8;white;Franc Peso;12912;57552;36053;SECRETPLACESPA;false;false;false;Soft Credit solid
9;Ergonomic Rivoli SQL;c Kids Île-de-France;49544;73890;51553;SECRETPLACESPA;false;true;false;b structure Rica
10;contingency connecting Awesome;drive;69418;44698;96485;SECRETPLACESPA;true;true;false;Kwanza ADP
